City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fort mcmurray,56.7268,-111.381,292.92,32,0,3.09,CA,1719609668
84,hawaiian paradise park,19.5933,-154.9731,299.88,81,20,4.63,US,1719609669
85,jamestown,42.097,-79.2353,299.92,49,0,4.63,US,1719609671
86,sola,-13.8833,167.55,300.52,78,75,5.14,VU,1719609672
87,qujing,25.4833,103.7833,289.85,97,100,2.32,CN,1719609674
88,zima,53.9202,102.0442,287.33,65,4,0.91,RU,1719609676
89,ciudad acuna,29.3232,-100.9522,312.31,29,0,6.69,MX,1719609677
90,afaahiti,-17.75,-149.2833,300.08,82,84,11.83,PF,1719609679
91,sharkan,57.2989,53.8712,284.7,70,0,7.35,RU,1719609680
92,burang,30.25,81.1667,282.61,81,44,1.6,CN,1719609682
93,tazacorte,28.629,-17.9293,293.69,91,0,6.69,ES,1719609683
94,lihue,21.9789,-159.3672,300.23,66,20,6.69,US,1719609556
95,bodden town,19.2833,-81.25,301.15,93,75,7.15,KY,1719609686
96,urengoy,65.9667,78.3667,281.46,60,100,5.64,RU,1719609688
97,domna,51.8971,113.1573,280.24,93,20,1.0,RU,1719609689
98,roswell,34.0232,-84.3616,305.77,62,100,5.14,US,1719609691
99,vanimo,-2.6741,141.3028,298.6,89,100,1.8,PG,1719609692
100,aral,40.5156,81.2636,303.09,24,72,3.84,CN,1719609694
101,okha,53.5739,142.9478,283.92,98,100,3.46,RU,1719609695
102,lockwood,45.8191,-108.4149,295.09,30,75,15.95,US,1719609697
103,iringa,-7.7667,35.7,287.2,56,6,4.47,TZ,1719609699
104,vilyuysk,63.7553,121.6247,286.43,56,0,0.42,RU,1719609700
105,moyynkum,44.2914,72.9469,300.68,41,99,4.42,KZ,1719609701
106,iskateley,67.6803,53.1512,280.24,76,34,1.93,RU,1719609703
107,aripuana,-9.1667,-60.6333,305.96,37,7,0.64,BR,1719609705
108,taltal,-25.4,-70.4833,289.78,78,100,2.99,CL,1719609706
109,buncrana,55.1333,-7.45,282.64,85,8,3.25,IE,1719609708
110,wickenburg,33.9686,-112.7296,313.25,30,0,5.64,US,1719609709
111,guiyang,26.5833,106.7167,294.42,88,100,4.0,CN,1719609711
112,craig,40.5153,-107.5464,300.12,34,40,7.72,US,1719609712
113,lautoka,-17.6167,177.4667,299.07,69,20,2.57,FJ,1719609509
114,udachny,66.4167,112.4,292.22,68,81,3.63,RU,1719609508
115,basco,20.4487,121.9702,302.84,81,4,6.87,PH,1719609716
116,akureyri,65.6835,-18.0878,280.11,87,100,12.35,IS,1719609718
117,vrangel',42.7297,133.0839,289.91,84,2,0.55,RU,1719609719
118,cadale,2.7603,46.3222,298.37,81,80,9.01,SO,1719609721
119,zaozersk,69.4005,32.4476,283.42,82,99,3.2,RU,1719609723
120,fortuna foothills,32.6578,-114.4119,315.2,25,0,6.17,US,1719609724
121,san patricio,28.017,-97.5169,307.2,60,91,7.23,US,1719609726
122,avarua,-21.2078,-159.775,300.18,83,75,5.14,CK,1719609727
123,ribeira grande,38.5167,-28.7,295.25,81,3,1.79,PT,1719609729
124,santiago de cao,-7.9589,-79.2392,291.22,88,75,4.12,PE,1719609730
125,puerto ayora,-0.7393,-90.3518,301.13,92,65,2.24,EC,1719609732
126,thunder bay,48.4001,-89.3168,286.14,94,100,3.09,CA,1719609733
127,katsuren-haebaru,26.3369,127.8719,301.58,90,0,3.6,JP,1719609735
128,opuwo,-18.0607,13.84,290.28,34,0,3.1,NA,1719609736
129,cockburn town,21.4612,-71.1419,300.96,86,100,7.73,TC,1719609738
130,atafu village,-8.5421,-172.5159,301.98,74,74,6.8,TK,1719609739
131,gereshk,31.8209,64.5701,307.95,15,2,8.0,AF,1719609741
132,sao joao da barra,-21.6403,-41.0511,297.2,88,50,6.65,BR,1719609744
133,upata,8.0086,-62.3989,298.96,88,97,1.6,VE,1719609745
134,west island,-12.1568,96.8225,300.14,78,40,5.14,CC,1719609747
135,kaiapoi,-43.3783,172.6401,280.98,94,75,1.54,NZ,1719609748
136,kone,-21.0595,164.8658,294.23,73,47,1.49,NC,1719609752
137,uttarkashi,30.7333,78.45,293.79,85,78,1.02,IN,1719609753
138,shahrud,36.4182,54.9763,294.73,51,70,6.12,IR,1719609755
139,bouarfa,32.53,-1.95,303.55,9,0,8.08,MA,1719609756
140,northam,51.0333,-4.2167,286.62,79,46,2.82,GB,1719609758
141,oarai,36.3167,140.6,294.45,96,100,1.03,JP,1719609759
142,georgetown,5.4112,100.3354,299.12,80,20,1.54,MY,1719609761
143,loukhi,66.0764,33.0381,290.42,63,70,4.26,RU,1719609762
144,yellowknife,62.456,-114.3525,294.49,37,75,5.14,CA,1719609475
145,ghadamis,30.1337,9.5007,310.67,11,0,1.77,LY,1719609765
146,robbah,33.2797,6.9098,313.95,9,3,4.93,DZ,1719609767
147,talnakh,69.4865,88.3972,281.26,82,99,6.39,RU,1719609769
148,takoradi,4.8845,-1.7554,298.08,92,100,2.95,GH,1719609770
149,antsiranana,-12.2787,49.2917,295.4,66,25,8.53,MG,1719609771
150,concepcion,-36.827,-73.0498,285.04,58,0,5.14,CL,1719609478
151,klyuchi,52.2667,79.1667,296.41,64,27,3.56,RU,1719609774
152,kindberg,47.5,15.45,293.39,82,32,1.45,AT,1719609777
153,tazovsky,67.4667,78.7,278.57,69,100,6.63,RU,1719609779
154,novyy urengoy,66.0833,76.6333,278.84,72,45,4.69,RU,1719609780
155,lionel town,17.8101,-77.2406,304.09,67,53,4.64,JM,1719609782
156,rawson,-43.3002,-65.1023,277.32,62,72,10.4,AR,1719609783
157,cabo san lucas,22.8909,-109.9124,307.76,27,0,4.63,MX,1719609659
158,walvis bay,-22.9575,14.5053,287.64,82,7,1.56,NA,1719609786
159,susuman,62.7833,148.1667,278.5,90,100,1.41,RU,1719609788
160,paradsasvar,47.9126,19.9771,295.77,83,100,0.91,HU,1719609789
161,st. john's,47.5649,-52.7093,291.81,95,100,7.72,CA,1719609791
162,lomma,55.6724,13.0685,290.59,80,0,6.97,SE,1719609792
163,remire-montjoly,4.9167,-52.2667,302.17,70,0,1.03,GF,1719609794
164,saint-philippe,-21.3585,55.7679,290.92,75,94,4.62,RE,1719609796
165,melgar,4.2048,-74.6407,300.78,70,73,1.41,CO,1719609797
166,ploudalmezeau,48.5333,-4.65,286.29,80,0,2.06,FR,1719609799
167,askoy,60.4092,5.226,284.31,100,75,7.72,NO,1719609800
168,pacific grove,36.6177,-121.9166,294.83,78,20,7.72,US,1719609802
169,warman,52.3168,-106.5679,287.1,72,75,8.75,CA,1719609803
170,safotu,-13.4513,-172.4018,300.49,85,27,6.89,WS,1719609805
171,crane,31.3974,-102.3501,312.11,20,48,6.85,US,1719609806
172,ashland,40.8167,-82.2665,302.52,59,96,4.0,US,1719609805
173,bubaque,11.2833,-15.8333,300.19,78,100,1.54,GW,1719609809
174,tolanaro,-25.0319,46.9987,292.19,72,20,3.09,MG,1719609811
175,mount isa,-20.7333,139.5,283.02,93,0,0.0,AU,1719609814
176,ilhabela,-23.7781,-45.3581,297.23,72,92,2.09,BR,1719609816
177,qaqortoq,60.7167,-46.0333,278.51,92,100,6.25,GL,1719609740
178,black point,-34.6187,137.8972,286.28,88,100,2.66,AU,1719609819
